group,drug_name,ndcnum,generic_name
clindamycin,clindamycin,00527138301,Clindamycin Hydrochloride
clindamycin,clindamycin,00527138302,Clindamycin Hydrochloride
clindamycin,clindamycin,00536015501,Clindamycin Hydrochloride
clindamycin,clindamycin,00536036675,Clindamycin Phosphate
clindamycin,clindamycin,00536036696,Clindamycin Phosphate
clindamycin,clindamycin,00574001602,Clindamycin Phosphate
clindamycin,clindamycin,00574012901,Clindamycin Palmitate Hydrochloride
clindamycin,clindamycin,00574041505,Clindamycin Phosphate
clindamycin,clindamycin,00574041510,Clindamycin Phosphate
clindamycin,clindamycin,00590511057,Clindamycin Hydrochloride
clindamycin,clindamycin,00590511065,Clindamycin Hydrochloride
clindamycin,clindamycin,00590511073,Clindamycin Hydrochloride
clindamycin,clindamycin,00591293201,Clindamycin Hydrochloride
clindamycin,clindamycin,00591312001,Clindamycin Hydrochloride
clindamycin,clindamycin,00591312016,Clindamycin Hydrochloride
clindamycin,clindamycin,00591570801,Clindamycin Hydrochloride
clindamycin,clindamycin,00603108645,Clindamycin Phosphate
clindamycin,clindamycin,00603108649,Clindamycin Phosphate
clindamycin,clindamycin,00603109845,Clindamycin Phosphate
clindamycin,clindamycin,00603109849,Clindamycin Phosphate
clindamycin,clindamycin,00603290921,Clindamycin Hydrochloride
clindamycin,clindamycin,00615131013,Clindamycin Hydrochloride
clindamycin,clindamycin,00641010625,Clindamycin Phosphate
clindamycin,clindamycin,00641226745,Clindamycin Phosphate
clindamycin,clindamycin,00641226845,Clindamycin Phosphate
clindamycin,clindamycin,00641226941,Clindamycin Phosphate
clindamycin,clindamycin,00677133201,Clindamycin Hydrochloride
clindamycin,clindamycin,00677133301,Clindamycin Hydrochloride
clindamycin,clindamycin,00686022602,Clindamycin Phosphate
clindamycin,clindamycin,00686022604,Clindamycin Phosphate
clindamycin,clindamycin,00686022606,Clindamycin Phosphate
clindamycin,clindamycin,00686059820,Clindamycin Hydrochloride
clindamycin,clindamycin,00686317109,Clindamycin Hydrochloride
clindamycin,clindamycin,00703910204,Clindamycin Phosphate
clindamycin,clindamycin,00703911004,Clindamycin Phosphate
clindamycin,clindamycin,00703912004,Clindamycin Phosphate
clindamycin,clindamycin,00703913801,Clindamycin Phosphate
clindamycin,clindamycin,00703914801,Clindamycin Phosphate
clindamycin,clindamycin,00713317101,Clindamycin Hydrochloride
clindamycin,clindamycin,00713525601,Clindamycin Hydrochloride
clindamycin,clindamycin,00719126210,Clindamycin Hydrochloride
clindamycin,clindamycin,00719310589,Clindamycin Hydrochloride
clindamycin,clindamycin,00719310690,Clindamycin Hydrochloride
clindamycin,clindamycin,00719310795,Clindamycin Hydrochloride
clindamycin,clindamycin,00781211201,Clindamycin Hydrochloride
clindamycin,clindamycin,00781211301,Clindamycin Hydrochloride
clindamycin,clindamycin,00781211317,Clindamycin Hydrochloride
clindamycin,clindamycin,00781293701,Clindamycin Hydrochloride
clindamycin,clindamycin,00781328809,Clindamycin Phosphate
clindamycin,clindamycin,00781328909,Clindamycin Phosphate
clindamycin,clindamycin,00781328991,Clindamycin Phosphate
clindamycin,clindamycin,00781329009,Clindamycin Phosphate
clindamycin,clindamycin,00781372872,Clindamycin Hydrochloride
clindamycin,clindamycin,00781373074,Clindamycin Hydrochloride
clindamycin,clindamycin,00781373276,Clindamycin Hydrochloride
clindamycin,clindamycin,00781680061,Clindamycin Phosphate
clindamycin,clindamycin,00781680090,Clindamycin Phosphate
clindamycin,clindamycin,00781716119,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,00781922009,Clindamycin Phosphate/Dextrose
clindamycin,clindamycin,00781922109,Clindamycin Phosphate/Dextrose
clindamycin,clindamycin,00781922209,Clindamycin Phosphate/Dextrose
clindamycin,clindamycin,00839753306,Clindamycin Hydrochloride
clindamycin,clindamycin,00839753406,Clindamycin Hydrochloride
clindamycin,clindamycin,00839781563,Clindamycin Phosphate
clindamycin,clindamycin,00839781564,Clindamycin Phosphate
clindamycin,clindamycin,00904383560,Clindamycin Hydrochloride
clindamycin,clindamycin,00904383660,Clindamycin Hydrochloride
clindamycin,clindamycin,00904383860,Clindamycin Hydrochloride
clindamycin,clindamycin,00904595961,Clindamycin Hydrochloride
clindamycin,clindamycin,00904596061,Clindamycin Hydrochloride
clindamycin,clindamycin,00904773303,Clindamycin Phosphate
clindamycin,clindamycin,00904773330,Clindamycin Phosphate
clindamycin,clindamycin,10135056919,Clindamycin Palmitate Hydrochloride
clindamycin,clindamycin,10544015340,Clindamycin Hydrochloride
clindamycin,clindamycin,10544015342,Clindamycin Hydrochloride
clindamycin,clindamycin,10544033228,Clindamycin Hydrochloride
clindamycin,clindamycin,10544033260,Clindamycin Hydrochloride
clindamycin,clindamycin,10544033360,Clindamycin Hydrochloride
clindamycin,clindamycin,11845046101,Clindamycin Hydrochloride
clindamycin,clindamycin,12280012860,Clindamycin Phosphate
clindamycin,clindamycin,13548013250,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,16110007130,Clindamycin Phosphate/Tretinoin
clindamycin,clindamycin,16110007160,Clindamycin Phosphate/Tretinoin
clindamycin,clindamycin,16590005720,Clindamycin Hydrochloride
clindamycin,clindamycin,16590005728,Clindamycin Hydrochloride
clindamycin,clindamycin,16590005730,Clindamycin Hydrochloride
clindamycin,clindamycin,16590044114,Clindamycin Hydrochloride
clindamycin,clindamycin,16590044128,Clindamycin Hydrochloride
clindamycin,clindamycin,16590044130,Clindamycin Hydrochloride
clindamycin,clindamycin,16590044140,Clindamycin Hydrochloride
clindamycin,clindamycin,16590044162,Clindamycin Hydrochloride
clindamycin,clindamycin,16714048301,Clindamycin Palmitate Hydrochloride
clindamycin,clindamycin,16781046207,Clindamycin Phosphate
clindamycin,clindamycin,16781046275,Clindamycin Phosphate
clindamycin,clindamycin,17236065701,Clindamycin Hydrochloride
clindamycin,clindamycin,17478012050,Clindamycin Phosphate
