group,drug_name,ndcnum,generic_name
cephalosporins,cephalexin,00485006115,Cephalexin
cephalosporins,cephalexin,00485006315,Cephalexin
cephalosporins,cephalexin,00536011682,Cephalexin
cephalosporins,cephalexin,00536011684,Cephalexin
cephalosporins,cephalexin,00536011882,Cephalexin
cephalosporins,cephalexin,00536011884,Cephalexin
cephalosporins,cephalexin,00536012001,Cephalexin
cephalosporins,cephalexin,00536012005,Cephalexin
cephalosporins,cephalexin,00536012034,Cephalexin
cephalosporins,cephalexin,00536013001,Cephalexin
cephalosporins,cephalexin,00536013005,Cephalexin
cephalosporins,cephalexin,00536013034,Cephalexin
cephalosporins,cephalexin,00555051402,Cephalexin
cephalosporins,cephalexin,00555051404,Cephalexin
cephalosporins,cephalexin,00555051502,Cephalexin
cephalosporins,cephalexin,00555051504,Cephalexin
cephalosporins,cephalexin,00555052522,Cephalexin
cephalosporins,cephalexin,00555052523,Cephalexin
cephalosporins,cephalexin,00555052622,Cephalexin
cephalosporins,cephalexin,00555052623,Cephalexin
cephalosporins,cephalexin,00555054502,Cephalexin
cephalosporins,cephalexin,00555054504,Cephalexin
cephalosporins,cephalexin,00555054602,Cephalexin
cephalosporins,cephalexin,00555054604,Cephalexin
cephalosporins,cephalexin,00580152001,Cephalexin
cephalosporins,cephalexin,00580152101,Cephalexin
cephalosporins,cephalexin,00580152230,Cephalexin
cephalosporins,cephalexin,00580152233,Cephalexin
cephalosporins,cephalexin,00580152330,Cephalexin
cephalosporins,cephalexin,00580152333,Cephalexin
cephalosporins,cephalexin,00591568001,Cephalexin
cephalosporins,cephalexin,00591568003,Cephalexin
cephalosporins,cephalexin,00591568101,Cephalexin
cephalosporins,cephalexin,00591568103,Cephalexin
cephalosporins,cephalexin,00591569001,Cephalexin
cephalosporins,cephalexin,00591569002,Cephalexin
cephalosporins,cephalexin,00591569101,Cephalexin
cephalosporins,cephalexin,00591569102,Cephalexin
cephalosporins,cephalexin,00603259521,Cephalexin
cephalosporins,cephalexin,00603259528,Cephalexin
cephalosporins,cephalexin,00603259621,Cephalexin
cephalosporins,cephalexin,00603259628,Cephalexin
cephalosporins,cephalexin,00603654164,Cephalexin
cephalosporins,cephalexin,00603654168,Cephalexin
cephalosporins,cephalexin,00603654264,Cephalexin
cephalosporins,cephalexin,00603654268,Cephalexin
cephalosporins,cephalexin,00615035313,Cephalexin
cephalosporins,cephalexin,00615035338,Cephalexin
cephalosporins,cephalexin,00615035413,Cephalexin
cephalosporins,cephalexin,00615035422,Cephalexin
cephalosporins,cephalexin,00659014710,Cephalexin
cephalosporins,cephalexin,00659014720,Cephalexin
cephalosporins,cephalexin,00659014840,Cephalexin
cephalosporins,cephalexin,00677115801,Cephalexin
cephalosporins,cephalexin,00677115805,Cephalexin
cephalosporins,cephalexin,00677115901,Cephalexin
cephalosporins,cephalexin,00677115905,Cephalexin
cephalosporins,cephalexin,00677118727,Cephalexin
cephalosporins,cephalexin,00677118729,Cephalexin
cephalosporins,cephalexin,00677118827,Cephalexin
cephalosporins,cephalexin,00677118829,Cephalexin
cephalosporins,cephalexin,00686060420,Cephalexin
cephalosporins,cephalexin,00686060520,Cephalexin
cephalosporins,cephalexin,00686314503,Cephalexin
cephalosporins,cephalexin,00686314509,Cephalexin
cephalosporins,cephalexin,00686314703,Cephalexin
cephalosporins,cephalexin,00686314709,Cephalexin
