group,ndc_code
ALBUTEROL,55887081218
ALBUTEROL,55953005101
ALBUTEROL,55953005153
ALBUTEROL,57866005101
PROVENTIL,58016605901
PROVENTIL,58016605917
PROVENTIL,58016620501
VENTOLIN,58016631601
VENTOLIN,58016631617
ALBUTEROL,58016656901
RESPIROL,58980010817
ALBUTEROL,59772617501
ALBUTEROL,59772617502
ALBUTEROL,59930156001
ALBUTEROL,59930156002
PROVENTIL,60346033176
VENTOLIN,60346038476
VENTOLIN,60346039476
PROVENTIL,60346040876
ALBUTEROL,62037079444
ALBUTEROL,63874074917
ALBUTEROL,66267099517
ALBUTEROL,68115099517
ALBUTEROL SULFATE,00054074287
ALBUTEROL SULFATE,00054806311
ALBUTEROL SULFATE,00054806313
ALBUTEROL SULFATE,00054806321
PROVENTIL,00085020802
PROVENTIL,00085020901
PROVENTIL HFA,00085113201
PROVENTIL HFA,00085113202
PROVENTIL HFA,00085113204
PROVENTIL,00085133601
PROVENTIL,00085180601
ALBUTEROL SULFATE HFA,00093317431
ALBUTEROL SULFATE,00172640544
ALBUTEROL SULFATE,00172640549
VENTOLIN,00173038558
VENTOLIN ROTACAPS,00173038901
VENTOLIN ROTACAPS,00173038902
VENTOLIN ROTACAPS,00173038903
VENTOLIN ROTACAPS,00173038981
VENTOLIN NEBULES,00173041900
VENTOLIN HFA,00173068200
VENTOLIN HFA,00173068220
VENTOLIN HFA,00173068221
VENTOLIN HFA,00173068224
VENTOLIN HFA NOVAPLUS,00173068254
RELION VENTOLIN HFA,00173068281
ALBUTEROL SULFATE,00182601465
ALBUTEROL SULFATE,00182801024
ALBUTEROL SULFATE,00182801026
ALBUTEROL SULFATE,00186149001
ALBUTEROL SULFATE,00186149104
ALBUTEROL SULFATE,00186149117
ALBUTEROL SULFATE HFA,00254100752
ALBUTEROL SULFATE,00364253055
ALBUTEROL SULFATE,00378699052
ALBUTEROL SULFATE,00378699058
ALBUTEROL SULFATE,00378699091
ALBUTEROL SULFATE,00378699093
ALBUTEROL SULFATE,00378699152
ALBUTEROL SULFATE,00378699252
ALBUTEROL SULFATE,00378705752
ALBUTEROL SULFATE,00378705798
ALBUTEROL SULFATE,00378705852
ALBUTEROL SULFATE,00378705898
ALBUTEROL SULFATE,00378827031
ALBUTEROL SULFATE,00378827052
ALBUTEROL SULFATE,00378827055
ALBUTEROL SULFATE,00378827091
ALBUTEROL SULFATE,00378827093
VENTOLIN,00403181118
PROVENTIL,00403350718
ALBUTEROL SULFATE,00403431018
PROVENTIL,00403460118
ALBUTEROL SULFATE,00403460218
ALBUTEROL SULFATE,00403467218
ALBUTEROL SULFATE,00405213052
ALBUTEROL SULFATE,00405213125
ALBUTEROL SULFATE,00405213131
ALBUTEROL SULFATE,00472083123
ALBUTEROL SULFATE,00472083130
ALBUTEROL SULFATE,00472083160
ALBUTEROL SULFATE,00472083220
ALBUTEROL SULFATE,00472083230
ALBUTEROL SULFATE,00487030101
ALBUTEROL SULFATE,00487030102
ALBUTEROL SULFATE,00487950100
ALBUTEROL SULFATE,00487950101
ALBUTEROL SULFATE,00487950102
ALBUTEROL SULFATE,00487950103
ALBUTEROL SULFATE,00487950125
ALBUTEROL SULFATE,00487950160
ALBUTEROL SULFATE,00487990102
ALBUTEROL SULFATE,00487990130
ALBUTEROL SULFATE,00487990401
ALBUTEROL SULFATE,00487990402
ALBUTEROL SULFATE,00487990425
ALBUTEROL SULFATE,00536000773
ALBUTEROL SULFATE,00536267500
ALBUTEROL SULFATE,00536267573
ALBUTEROL SULFATE,00536267704
ALBUTEROL SULFATE,00591346753
ALBUTEROL SULFATE,00591346853
ALBUTEROL SULFATE,00591379730
ALBUTEROL SULFATE,00591379760
ALBUTEROL SULFATE,00591379783
ALBUTEROL SULFATE,00603100540
ALBUTEROL SULFATE,00603100643
ALBUTEROL SULFATE,00677152122
ALBUTEROL SULFATE,00677152272
ALBUTEROL SULFATE,00677152273
ALBUTEROL SULFATE,00781715529
ALBUTEROL SULFATE,00781715564
ALBUTEROL SULFATE,00781715586
ALBUTEROL SULFATE HFA,00781729685
ALBUTEROL SULFATE,00781753580
ALBUTEROL SULFATE,00781915093
ALBUTEROL SULFATE,00839773097
