group,ndc_code
all,00004200278
all,00004200378
all,00005306123
all,00005306131
all,00005311523
all,00005311527
all,00005311618
all,00005311631
all,00005311723
all,00005311731
all,00005311823
all,00005311831
all,00005311965
all,00005312065
all,00005312465
all,00005312623
all,00005313523
all,00005313623
all,00005314423
all,00005314431
all,00005314518
all,00005314531
all,00005314643
all,00005314646
all,00005314649
all,00005314743
all,00005314746
all,00005314749
all,00005322946
all,00005322960
all,00005323046
all,00005323060
all,00005325023
all,00005325031
all,00005325060
all,00005325123
all,00005325160
all,00005325534
all,00005333023
all,00005333123
all,00005333223
all,00005335223
all,00005335323
all,00005335442
all,00005335449
all,00005335540
all,00005335546
all,00005335642
all,00005335649
all,00005335740
all,00005335746
all,00005340623
all,00005340723
all,00005341323
all,00005341423
all,00005358623
all,00005358631
all,00005358723
all,00005358731
all,00005358846
all,00005358860
all,00005358946
all,00005358960
all,00005370046
all,00005370049
all,00005370060
all,00005370665
all,00005373265
all,00005376718
all,00005376818
all,00005376831
all,00005377923
all,00005378023
all,00005386523
all,00005386534
all,00005386560
all,00005386561
all,00005386623
all,00005386631
all,00005386660
all,00005387046
all,00005387049
all,00005387060
all,00005387146
all,00005387149
all,00005387160
all,00005387446
all,00005387449
all,00005387460
all,00005387546
all,00005387549
all,00005387560
all,00005389718
all,00005389723
all,00005389760
all,00005389794
all,00005389840
all,00005389842
all,00005389846
all,00005389923
all,00005396031
all,00005477196
all,00005477294
all,00005487523
all,00005487534
all,00005487559
all,00005487560
all,00005487564
all,00005488023
all,00005488034
all,00005488059
all,00005488060
all,00005488061
all,00005488063
all,00005488065
all,00005530023
all,00005530060
all,00005530118
all,00005530123
all,00005530160
all,00005531356
all,00005534323
all,00005534327
all,00005534418
all,00005534427
all,00005535295
all,00005535795
all,00005541056
all,00005541065
all,00005544623
all,00005920823
all,00005921823
all,00005927005
all,00005927029
all,00005937523
all,00005937618
all,00006070520
all,00006070528
all,00006070568
all,00006335645
all,00006335671
all,00006335753
all,00006335773
all,00006336871
all,00006336973
all,00006338810
all,00006338867
all,00006351458
all,00006351474
all,00006351574
all,00006351659
all,00006351675
all,00006351775
all,00006354524
all,00006354725
all,00006354845
all,00006354953
all,00006355158
all,00006355174
all,00006355259
all,00006355275
all,00006358275
all,00006358376
all,00006366659
all,00006384371
all,00006384501
all,00006384571
all,00006385601
all,00006385602
all,00007010117
all,00007010120
all,00007010125
all,00007010217
all,00007010220
